index	original	translation	scores	mean	z_scores	z_mean	model_scores
0	The last conquistador then rides on with his sword drawn.	最后的征服者骑着他的剑继续前进.	[34, 38, 42]	38.0	[-1.6082034156434533, -1.7847572356764654, -1.1493974315381452]	-1.514119360952688	-0.6990631818771362
1	He shoves Owen into the pit where Digger rips out his son's heart.	他把欧文扔进了挖掘机挖出儿子心脏的坑里.	[51, 49, 50, 70, 60, 50]	55.0	[-0.9117078937258674, -1.6671266171635248, -0.6464868266138578, 0.15937592163328054, 0.14944823277894595, -0.6886702766213634]	-0.6008612432853978	-0.6273436546325684
2	Alpha Phi Alpha also participates in the March of Dimes' WalkAmerica and raised over $181,000 in 2006.	Alpha Phi Alpha 还参加了 Dimes 'WalkAmerica 的 3 月活动 ， 并在 2006 年筹集了 181 000 美元。	[67, 95, 71, 65, 45, 50]	65.5	[-0.14077147789135155, 0.891823783328571, 0.43515646381259004, -0.04732479706499497, -0.61134832637918, -0.6886702766213634]	-0.02685577180262148	-0.3339879810810089
3	In 1995, Deftones released their debut album Adrenaline.	1995 年 ， Deftones 发行了首张专辑《肾上腺素》。	[83, 89, 92]	88.0	[0.6605739498965285, 1.1664094557428424, 1.3481260780005488]	1.0583698278799731	-0.32621049880981445
4	Kyrgios also supports the North Melbourne Kangaroos Football Club in the Australian Football League.	基尔吉奥斯还在澳大利亚足球联盟中支持北墨尔本袋鼠足球俱乐部.	[94, 81, 76]	83.66666666666667	[1.92791735961526, 0.5518925638710621, 0.459654826235891]	0.9798215832407376	-0.6139927506446838
5	The August 16 semifinals placed McFarlane in the second heat.	八月十六日的半决赛使麦克法兰处于第二位.	[83, 70, 61]	71.33333333333333	[0.6605739498965285, 0.20790682744575845, -0.2799046179067699]	0.19619205314517232	-0.6590238213539124
6	However, after a few victories, the campaign falters.	但是 ， 在取得了几次胜利之后 ， 这场运动就失败了。	[80, 85, 85]	83.33333333333333	[0.49755187085832897, 0.9646194287329299, 1.1562519907635553]	0.8728077634516048	-0.8927724361419678
7	They are untouched by modern craze for aggiornamento".	他们没有被现代对农业的迷恋所触动 ".	[84, 78, 81]	81.0	[0.7149146429092618, 0.394121204427515, 0.39476221394086863]	0.5012660204258818	-0.9218874573707581
8	Damiani, Matteo A tragic episode of cannibalism during the famine of the Great Leap Forward.	达米亚尼, 马特奥在大跃进饥荒中的惨剧.	[75, 77, 76]	76.0	[0.22584840579466298, 0.29825894472828096, 0.18398901952756763]	0.23603212335017051	-0.8190220594406128
9	On 24 November 2010, Miles Kane revealed that Gallagher sang on a track from his debut solo album titled My Fantasy.	2010 年 11 月 24 日 ， Miles Kane 透露 ， Gallagher 在他的首张题为 "我的幻想" 的独唱专辑的轨道上唱歌。	[72, 83, 78, 75, 65, 80]	75.5	[0.10014615205693464, 0.2242715049393286, 0.7957042272880727, 0.36607664033155607, 0.4030470858316546, 0.8520021409321601]	0.4568746252299511	-0.4454907774925232
10	Jonah Wizard later traps them in a deserted island on the Nile.	乔纳 · 维扎德后来在尼罗河上的一个荒岛上捉住了他们.	[79, 100, 80, 85, 90, 90]	87.33333333333333	[0.4374308339845353, 1.1699705659907553, 0.8987178739953534, 0.7794780777281071, 1.671041351095198, 1.3655596134500012]	1.0536997193739917	-0.566913902759552
11	The standard load for a Voyageur on a portage was two bundles, or 180 lb.	一个旅行者在港口的标准负载是两个捆绑, 即 180 磅.	[53, 78, 56]	62.333333333333336	[-0.29880266305962655, 0.3888704848328626, -0.498358267088935]	-0.136096815105233	-0.7031942009925842
12	Returning to the gulch, he throws Schneider to the lion.	回到峡谷, 他把施奈德扔给了狮子.	[100, 100, 90, 95, 80, 90]	92.5	[1.4492848797673374, 1.1699705659907553, 1.4137861075317573, 1.192879515124658, 1.1638436449897807, 1.3655596134500012]	1.292554054475715	-0.5746616721153259
13	Boucher and Leighton became the first goalies since 1955 to share a playoff shutout.	布彻和莱顿成为 1955 年以来第一个分享季后赛的门将.	[70, 85, 78, 75, 55, 50]	68.83333333333333	[0.003779100077620162, 0.3355302180042023, 0.7957042272880727, 0.36607664033155607, -0.1041506202737627, -0.6886702766213634]	0.11804488146772084	-0.5842887163162231
14	Tapestries of the 6th century decorate the choir and represent the miracles of Saint Amans.	六世纪的唱诗班装饰了合唱团 ， 代表了圣阿曼的奇迹。	[52, 42, 32, 65, 45, 50]	47.666666666666664	[-0.8635243677362101, -2.056532112890583, -1.5736096469793845, -0.04732479706499497, -0.61134832637918, -0.6886702766213634]	-0.973501587945286	-0.6479259729385376
15	The poet Robert Browning and his wife Elizabeth attended a séance on 23, July 1855 in Ealing with the Rymers.	1855 年 7 月 23 日 ， 诗人罗伯特 · 布朗宁和他的妻子伊丽莎白在《与运动员共进晚餐》中参加了一个圣职。	[76, 81, 86]	81.0	[0.2023966850290469, 0.7628294017230176, 0.8235960289347282]	0.5962740385622642	-0.7034218311309814
16	Simply titled Unplugged, the album debuted at number one on the U.S.	这张专辑在美国名列第一 ， 简而言之标题是 "未插上" 。	[91, 66, 79, 65, 45, 60]	67.66666666666667	[1.0156331458604222, -0.7214275561120982, 0.8472110506417131, -0.04732479706499497, -0.61134832637918, -0.17511280410352223]	0.051271785473723276	-0.9726664423942566
17	His nudes celebrated the glamor and beauty of the female form.	他的裸体颂扬了女性的魅力和美丽.	[79, 60, 82]	73.66666666666667	[0.44321117784559577, -0.18560226335610253, 0.7775702432244512]	0.34505971923798145	-0.821742594242096
18	He can play the flute, the piano and the percussions.	他能演奏长笛、钢琴和打击乐器.	[100, 98, 91, 95, 95, 90]	94.83333333333333	[1.4492848797673374, 1.0587118529258817, 1.4652929308853975, 1.192879515124658, 1.9246402041479067, 1.3655596134500012]	1.409394832716864	-0.3708063066005707
19	The crusaders especially needed the Venetians' ships against the Egyptians.	十字军特别需要威尼斯人的船只来对付埃及人。	[100, 78, 97]	91.66666666666667	[1.396528507302708, 0.3888704848328626, 1.5699895097626673]	1.1184628339660794	-0.5908176898956299
20	Emeritus Professor of General Pathology and Physiopathology at the Faculty of Medicine, Central University of Venezuela.	委内瑞拉中央大学医学院普通病理学和生理病理学名誉教授。	[100, 96, 95, 75, 90, 95]	91.83333333333333	[1.4492848797673374, 0.9474531398610079, 1.671320224299959, 0.36607664033155607, 1.671041351095198, 1.6223383497089219]	1.2879190975106634	-0.3076200485229492
21	Windsor Magazine, December 1904 A Plot in the Duchy.	《温莎杂志》, 1904 年 12 月.	[40, 36, 32]	36.0	[-0.85928220739592, -1.8934386217019317, -1.7090984291484095]	-1.487273086082087	-0.5385094881057739
22	I./KG 54 operated against the British beachheads with Butterfly Bombs and mined the Orne and Vire estuaries on 7/8 June 1944.	I. / KG 54 用蝴蝶炸弹攻击英国的海头 ， 并于 1944 年 6 月 7 日 / 8 日在奥恩和瓦雷河口埋设了地雷。	[70, 85, 59, 75, 50, 60]	66.5	[0.003779100077620162, 0.3355302180042023, -0.18292541643109445, 0.36607664033155607, -0.3577494733264714, -0.17511280410352223]	-0.0017336225746182553	-0.4907500743865967
23	Aaron and Robert share a kiss while a delighted Liv overhears.	亚伦和罗伯特分享了一个吻, 而一个愉快的利夫听到了.	[73, 66, 70, 85, 75, 70]	73.16666666666667	[0.1483296780465919, -0.7214275561120982, 0.38364964045894967, 0.7794780777281071, 0.910244791937072, 0.33844466841431897]	0.30645321674549025	-0.740784227848053
24	The Five Gatekeepers defeat Chaos by impaling him with their swords, forming a five pointed star.	五个守门员用刀子击打他, 击败了混乱, 形成了一个五角星.	[69, 60, 51, 35, 40, 55]	51.666666666666664	[-0.044404425912037075, -1.0552036953067194, -0.5949800032602174, -1.2875291092546481, -0.8649471794318887, -0.4318915403624428]	-0.7131593255879922	-0.8181764483451843
25	Ash tampers with Justin's bike so he will not win.	用贾斯汀的自行车擦伤了他 ， 所以他不会赢的。	[79, 69, 88]	78.66666666666667	[0.6619343882180614, -0.10019575228173622, 1.0128492529905975]	0.5248626296423076	-0.9364264607429504
26	The Riddler appears in Justice League Action, voiced by Brent Spiner.	里德勒出现在正义联盟行动中 ， 布伦特斯皮纳表达了这一观点。	[29, 42, 55, 65, 70, 80]	56.833333333333336	[-1.9717454654983266, -2.056532112890583, -0.38895270984565594, -0.04732479706499497, 0.6566459388843633, 0.8520021409321601]	-0.49265116758050614	-0.7182172536849976
27	The pupa or chrysalis, unlike that of moths, is not wrapped in a cocoon.	木偶或菊花与苍蝇不同, 不被包裹在椰子里.	[73, 68, 62]	67.66666666666667	[0.11716701976919658, 0.05210266206801503, -1.13967495076023]	-0.3234684229743395	-0.9945302605628967
28	However Carla manages to untie herself and escapes, although Tony walks into the inferno and kills himself.	然而卡拉却设法解开了束缚 ， 逃走了 ， 尽管托尼走进了地狱 ， 自杀了。	[70, 87, 70, 65, 75, 85]	75.33333333333333	[0.003779100077620162, 0.4467889310690761, 0.38364964045894967, -0.04732479706499497, 0.910244791937072, 1.1087808771910808]	0.46765309061146726	-0.6629123687744141
29	Viviparity and ovoviviparity have evolved in many extinct clades of reptiles and in squamates.	在许多灭绝的爬行动物和鱿鱼群中 ， 生物和生物已经进化。	[22, 32, 41]	31.666666666666668	[-1.5275793559929194, -2.1108013937528645, -1.2550708683761065]	-1.6311505393739634	-0.8284616470336914
30	A military coup overthrew Allende on 11 September 1973.	1973 年 9 月 11 日的军事政变推翻了阿连德。	[78, 80, 100]	86.0	[0.3888704848328626, 0.7123818949705395, 1.7315581633397117]	0.9442701810477047	-0.23445279896259308
31	Equatorial Guinea lies between latitudes 4°N and 2°S, and longitudes 5° and 12°E.	赤道几内亚位于北纬 4 度至南纬 2 度之间, 东经 5 度至 12 度之间。	[83, 93, 90]	88.66666666666667	[0.6605739498965285, 1.2478760665263304, 1.2168569624953205]	1.0417689929727265	-0.3672794699668884
32	In July 2018, Farage headlined a fundraiser for Lou Barletta, the Republican nominee in the 2018 United States Senate election in Pennsylvania.	2018 年 7 月 ， 法拉奇为 2018 年宾夕法尼亚州美国参议院选举的共和党候选人卢 · 巴莱塔 （ Lou Barletta ） 担任了筹款人。	[80, 68, 77]	75.0	[0.7123818949705395, -0.15453644529446942, 0.5856136125332766]	0.38115302073644886	-0.43493279814720154
33	Rafter hips are often amplified by poor muscling along thighs and lower hips.	在大腿和下臀部的肌肉不足往往会放大蜂窝.	[66, 55, 61, 65, 40, 50]	56.166666666666664	[-0.1889550038810088, -1.3333504779689038, -0.07991176972381368, -0.04732479706499497, -0.8649471794318887, -0.6886702766213634]	-0.5338599174486622	-1.2098239660263062
34	Blur released two singles "The Puritan" and "Under the Westway" on 2 July.	7 月 2 日 ， 布莱尔发行了两个单曲 "清教徒" 和 "西路下" 。	[57, 71, 84]	70.66666666666667	[-0.21547967374488147, 0.008485633743730183, 0.9141719219804518]	0.23572596065976684	-0.47925087809562683
35	The "UK Radio Edit" replaces guitars with synths and electronic beats.	"英国无线电编辑" 用合成声和电子击打代替吉他。	[70, 93, 70, 85, 75, 75]	78.0	[0.003779100077620162, 0.7805650702636973, 0.38364964045894967, 0.7794780777281071, 0.910244791937072, 0.5952234046732395]	0.575490014189781	-0.5696243047714233
36	The album spawned two singles, "The Celestials" and "Panopticon".	这张专辑产生了两个单曲 ， "凯尔特人" 和 "全景" 。	[85, 64, 70]	73.0	[0.7692553359219949, -0.3218666470643547, -0.37277687316635744]	0.024870605230427594	-0.5778990983963013
37	It stayed in East Prussia resting and replenishing until 21 January 1942.	它一直在东普鲁士休息和补充 ， 直到 1942 年 1 月 21 日。	[100, 81, 82]	87.66666666666667	[1.396528507302708, 0.5518925638710621, 0.8132769084754957]	0.920565993216422	-0.46532106399536133
38	This insubordination earned him a now famous reprimand from the King.	这种不服从命令的态度使他赢得了国王现在著名的训斥.	[57, 64, 50]	57.0	[-0.7522840684345345, -0.15167342001592293, -0.7733545298809725]	-0.5591040061104767	-0.6240912079811096
39	Cicero transliterated the Greek word into the Latin átheos.	西塞罗把希腊语译成拉丁语.	[92, 67, 80, 90, 70, 80]	79.83333333333333	[1.0638166718500794, -0.6657981995796614, 0.8987178739953534, 0.9861787964263826, 0.6566459388843633, 0.8520021409321601]	0.6319272037514462	-0.47779807448387146
40	We also find this motif on the neck of a volute krater attributed to the painter of the Woolly Satyrs and preserved in New York.	我们还在一个被认为是伍利撒特人的画家并保存在纽约的一个大克拉特人的脖子上发现了这一运动。	[44, 46, 42]	44.0	[-1.458713077600066, -1.0028333346137162, -1.0483244553692188]	-1.1699569558610003	-0.8705645203590393
41	After the Conquest, the Spanish reorganized the pre Hispanic neighborhoods or capullis around various patron saints.	征服后 ， 西班牙人围绕各种守护神重新组织了西班牙裔以前的社区或议会。	[86, 70, 72]	76.0	[0.8235960289347282, -0.37277687316635744, -0.38765141691747695]	0.021055912950297923	-0.7956951260566711
42	All 6 of the artillerymen recorded as wounded died).	据记录 ， 所有 6 名炮兵都受伤了) 。	[66, 71, 60, 45, 50, 50]	57.0	[-0.1889550038810088, -0.44328077344991385, -0.13141859307745407, -0.874127671858097, -0.3577494733264714, -0.6886702766213634]	-0.44736696536905146	-0.7980974912643433
