index	original	translation	scores	mean	z_scores	z_mean	model_scores
0	Kogu päeva kestnud Auvere lahingu tulemusena löödi Punaarmee tagasi.	The whole day-long Auvere battle resulted in the Red Army being defeated.	[100, 82, 77]	86.33333333333333	[1.0152560939928115, 0.5808699337445091, 0.2705666302778131]	0.6222308860050446	-0.367572546005249
1	Mweri ahelik on veelahe Kongo ja Niiluse jõgikonna vahel.	The flotilla is a watershed between the Congo and the Nile Basin.	[68, 74, 80]	74.0	[-0.05364345636477628, 0.29999877943339137, 0.4936093960423005]	0.24665490637030518	-0.5699995160102844
2	"Love's Vision" on Troy Jollimore'i filosoofiline raamat, mis ilmus 2011. aastal Princeton University Pressi väljaandel.	The "Love" Vision is a philosophical book by Troy Jollimore, which appeared in the Princeton University Square in 2011.	[13, 21, 28]	20.666666666666668	[-1.635530085763711, -2.080576466172854, -1.2974639223337912]	-1.6711901580901187	-0.23067863285541534
3	Aga on veel midagi eelnevat, nimelt kas säilitada need varasemad pühendumused ja kas järgnevad põhjendid tuleb määrata nende valguses.	However, there is something else that has come about, namely whether to maintain these earlier commitments and whether the subsequent causes must be determined in light of them.	[92, 78, 100]	90.0	[0.87113844457352, 0.4063488583400919, 1.0991035183644302]	0.7921969404260141	-0.5393880605697632
4	Kalmule andis rektori ametiraha üle Eesti president Kersti Kaljulaid.	Kalmule was handed over by President Kersti Kaljukas of Estonia to resector money.	[1, 8, 15]	8.0	[-2.016289862523797, -2.6477699612372096, -2.258848426590734]	-2.30763608345058	-0.577187180519104
5	Asja mõte ei ole anda tunnetuse teooriat, ja vastandust väärtusega tuleb väljendada teaduse, mitte tunnetuse kaudu.	It is not a matter of giving the theory of sensibilities, and the opposite has to be expressed through science, not by a sense of recognition.	[78, 87, 96]	87.0	[0.4063488583400919, 0.7124885375901508, 1.156671913144946]	0.758503103025063	-0.6122293472290039
6	Siinne jutt, et poliitikakunsti eesmärk on parim, on vastuolus 10. raamatu jutuga "teooriast" kui parimast.	The talk that political art has the best purpose of all goes against what the 10th book says about 'theory' as the best.	[100, 93, 97]	96.66666666666667	[0.8975674955625244, 1.0539163438577714, 1.0297883515568889]	0.993757396992395	-0.5696142315864563
7	21. septembril 2007 tunnustas ta Giuseppe Li Shani ja Paolo Xiao Zejiangi ordineerimist piiskoppideks.	On 21 September 2007, he recognised the coordination of Giuseppe Li Shani and Paolo Xiaobo in Zejiang as a bishops.	[84, 55, 70]	69.66666666666667	[0.6681304714467177, -0.5389595118353006, -0.19997321272861532]	-0.02360075103906607	-0.22286833822727203
8	Ukraina parlamendis kukkus läbi Volodõmõr Orgõzko kinnitamine välisministriks.	In the Ukrainian Parliament, the confirmation of the board's siszko as Foreign Minister failed by Volodyr.	[78, 82, 74]	78.0	[0.4269187050200866, 0.5808699337445091, 0.16249660139694996]	0.3900950800538486	-0.4540137052536011
9	Hiljem, kui Nagy arreteeriti Jugoslaavia saatkonnas, tema arreteerimist ei kinnitatud.	Later than Nagy was arrested in the Yugoslav Embassy, his arrest was not confirmed.	[57, 63, 51]	57.0	[-0.5098867875330986, -0.2337601711662148, -0.4297907926901062]	-0.39114591712980656	-0.24655745923519135
10	Hutust president Sylvestre Ntibantunganya kukutati ning ta otsis varjupaika USA suursaatkonnas Bujumburas.	President Sylvestre Ntibantunganyahu was overthrown and sought refuge in the US Embassy in Bujumbura.	[100, 85, 100]	95.0	[1.1249782957469103, 0.711760740297822, 1.32209936924058]	1.0529461350951042	-0.2535873055458069
11	Võrreldes 2013. aastaga kasvas interneti kasutajate arv 2%.	The number of internet users increased by 2% compared to 2013.	[79, 86, 100]	88.33333333333333	[0.44997912719119615, 0.7431032729058616, 1.1249782957469103]	0.7726868986146561	-0.29309940338134766
12	Kohe pärast seda ehitati Wakefieldi tornist lääne poole Verine torn samal ajal sisehoovi kardinmüüriga.	Immediately afterwards, Verine torn west of the Wakefield pipeline was built at the same time as the wall of the internal season.	[84, 83, 82]	83.0	[0.6681304714467177, 0.5855686120034557, 0.21888885723578283]	0.4908626468953187	-0.3946135640144348
13	Belgias Brüsselis algas õhtul Euroopa Ülemkogu kahepäevane mitteametlik istung, kus Eestit esindas peaminister Taavi Rõivas.	In Brussels, Belgium, the European Council began its two-day informal meeting at which Estonia was represented by Prime Minister Taavi Ralevas.	[100, 82, 90]	90.66666666666667	[1.1249782957469103, 0.5808699337445091, 0.2018533424583735]	0.6359005239832644	-0.36178702116012573
14	Aga inimestel sellist piirangut ei ole, sest Gödel tõestas selle tulemuse.	However, people do not have such a restriction, as Gode has proved that it had a result.	[61, 82, 72]	71.66666666666667	[-0.30580685708679023, 0.5808699337445091, 0.23653881664004375]	0.17053396443258753	-0.6914169788360596
15	Rama oli esimene Albaania riigijuht, kes on Serbiat viimase 68 aasta vältel külastanud.	Rama was the first Albanian Head of State to visit Serbia over the last 68 years.	[83, 91, 100]	91.33333333333333	[0.6245002025956135, 0.8394084631768461, 1.32209936924058]	0.9286693450043465	-0.24072903394699097
16	Asi pole lihtsalt selles, et nii mõeldakse iseendast, mitte maailmast ja teistest inimestest; seda ongi näiteks enesekriitika puhul tarvis.	It is not just that this is meant by itself, not by the world and other people; this is what is needed, for example, in self-criticism.	[94, 81, 88]	87.66666666666667	[0.882963460602704, 0.5372396648934048, 0.7442185189868247]	0.7214738814943112	-0.414010226726532
