index	original	translation	scores	mean	z_scores	z_mean	model_scores
0	रैका भन्ने शब्दबाट रैकावर/रैका तप्पा नामाकरण भएको हो ।	Raikawar / Raika Tappa is named from the word raikawar.	[54, 52, 56]	54.0	[1.1808250735195704, 0.6776495439185408, 0.7008038228670544]	0.8530928134350552	-0.21662753820419312
1	यो कुरा हनुमानको पादपीठमा कुँदिएको अभिलेखबाट थाहा पाइन्छ।	It is known from a recipe that is cooked in the paddy of Hanuman.	[37, 27, 32]	32.0	[-0.024806434692821566, -0.9354170788652354, -0.3336311478516781]	-0.43128488713657837	-0.2997801899909973
2	प्रस्तुत काव्यमा छन्दशास्त्रीय नियमअनुसार ‘शिखरिणी’ छन्दको प्रयोग भएको छ ।	According to the rosary rules in the present case, 'Shakespeare' is used.	[1, 9, 5]	5.0	[-1.6697763183633743, -1.3360575947673647, -1.391694118257675]	-1.4658426771294712	-0.2826029360294342
3	सिन्धुलीमाढी शहरमा झन्डै ४० हजार मानीस बसोबास गर्दछन ।	Maanis live nearly 40 thousand in the city of sindh.	[16, 24, 34]	24.666666666666668	[-0.8658263217862707, -0.6336016161560023, -0.05043041476272927]	-0.5166194509016674	-0.2879049479961395
4	भगवान् शिवको हातमा रहेको त्रिशुल, बज्र आयुध नै हुन् ।	The Tree, which is in the hands of the goddess, is a bud.	[13, 15, 16]	14.666666666666666	[-1.1000321461759275, -1.066355918777447, -1.008244804748729]	-1.0582109565673679	-0.39151281118392944
5	त्यसपछि त्यसलाइ देवताको रुपमा गिरिचौका गाउँको बीचभागमा स्थापित गरी मान्न थालेको बताईन्छ ।	Then said it to be established in the middle of the village of girichou, as a goddess.	[36, 49, 38]	41.0	[0.049531654895670574, 0.5371583481962684, -0.2461893438542234]	0.11350021974590518	-0.305221289396286
6	उनले अस्टिनको भाँचिएको बङ्गाराले खेल्न अस्टिन असमर्थ हुन सक्ने बताएका थिए।	He said Austin's broken bangarra could be unable to play.	[40, 19, 38]	32.333333333333336	[0.011180509054566084, -0.8677536090264565, -0.15070977577496977]	-0.3357609585822867	-0.24611061811447144
7	सर्पले मरेको जस्तो स्वाङ पार्न सक्छ, त्यसैले सर्पलाई मरेको अवस्थामा पनि हातले चलाउनुहुँदैन ।	The serpent may swing as dead, so the serpent should not be handed over to the dead.	[26, 40, 53]	39.666666666666664	[-0.5399408190078206, -0.07549860350329067, 0.5714994515272128]	-0.01464665699463282	-0.3204881548881531
8	घर परिवारका सदस्यहरूले नाच्ने समूहलाई दिन भनेर एक नाङ्लोमा गक्ष अनुसारको रुपैयाँ धान र सगुन अगाडी राखेर आशनमा बस्नु पर्ने चलन छ ।	Members of the household have a variety of abilities, including rice and shogun ahead of a girl in a nanlo that gives dancing teams.	[60, 34, 33]	42.333333333333336	[0.7750330048407033, -0.24742823362511704, -0.10041144959192919]	0.14239777387455235	-0.30616119503974915
9	प्रत्यक गोत्रको प्रवर मध्य एक स्वयं गोत्र प्रवर्तक ऋषिको नाम हुने गर्छ र अन्यमा त्यो गोत्र वंशका पुर्खा तथा वंशमा उत्पन्न प्रख्यात ऋषिको नाम हुन्छ ।	The property of a suffix gotra would be the name of a self gotra prominent debtor and in others that occur in the fathers and tribes of the gotra tribe.	[51, 41, 46]	46.0	[0.3085466183754473, 0.054281966167846606, 0.4124261015061206]	0.2584182286831382	-0.24901580810546875
10	यो सारा परिसर सजावटी रातो पत्‍थरको देवलहरू तथा लोहेका जंगलहरू र लोहेका नैं विशाल दरवाजहरूबाट घिरा भयो हो।	This is the punishment of the red potter's gods and of the forests of Lohe, and of the great palaces of Lohe.	[41, 33, 25]	33.0	[0.16251515960354174, -0.6244261545550647, -0.6353413476446418]	-0.3657507808653882	-0.34131333231925964
11	टिष्टा नदी लाई सिक्किमको जीवन रेखा भनिन्छ  सिक्किममा कठिन भूक्षेत्रको कारण कुनै विमानस्थल अथवा रेल स्टेसन छैन।	The Tista River is called the life line of the sikkim, because of the difficult geography there is no airport or rail station.	[94, 80, 83]	85.66666666666667	[2.3386591931717144, 2.296577645986796, 2.1293918997153565]	2.254876246291289	-0.22848999500274658
12	सन १९९४ मा सिक्किम डेमोक्रेटिक फ्रन्टका पवन कुमार चाम्लिङ राज्यका मुख्यमन्त्री भए।	In Summer 1994, pawan kumar of Sikkim Democratic front became the chief minister of chamling state.	[31, 43, 54]	42.666666666666664	[-0.66998384216106, 0.14048488039440765, 0.7713103410667225]	0.08060379310002337	-0.18601740896701813
13	अछाम कालीकोट भन्दा भन्दै अछाम कालीमाटी भनिएको हुन सक्छ ।	A fish may have been called a fish, rather than a fish.	[9, 29, 9]	15.666666666666666	[-1.8683898517957473, -0.46293551919151965, -1.46223953333078]	-1.2645216347726824	-0.37871330976486206
14	भिक्षु स्वयं तराईबासी भएकाले आफ्नो आगत’ उपन्यासमा आञ्चलिक परिवेशको जीवन्त निरूपण गर्न निपुण साहित्यकारको रूपमा देखापर्नु कुनै आश्चर्यको कुरो होइन।	The vital self straining his input is not a wonderful thing to appear as a nephew courageous to discourage the living of the environment in the novel.	[25, 17, 19]	20.333333333333332	[-0.48235059479855336, -0.8045708304559909, -0.8677536090264565]	-0.7182250114270002	-0.3114018440246582
15	यस्ता मुलुकहरूको सङ्ख्या डेढ दर्जनको हाराहारीमा छ।	A number of such roads are in dedication.	[32, 28, 31]	30.333333333333332	[-0.2589584275632757, -0.8835852581468736, -0.3767326049649586]	-0.506425430225036	-0.3489137887954712
16	सबै ऐश्वर्य हुँदाहुँदै पनि जातकले आँफू स्वयंले भने सुख प्राप्त सक्दैन।	While all astonishing, astonishing can't get happy if the stuff is selfish.	[10, 12, 30]	17.333333333333332	[-1.289227196193274, -0.9797785014003056, -0.41821399523464564]	-0.8957398976094084	-0.4394078850746155
17	मन्दिर परिसरमा रहेको गाधीघरमा तिर्थयात्रीहरूको लागी खाने र बस्ने सुविधा रहेको छ।	The Temple is featured in the burial grounds of the tirthankaras and lives in the village.	[19, 19, 24]	20.666666666666668	[-0.6499332249998141, -0.8677536090264565, -0.6784428047579223]	-0.7320432129280642	-0.3525179624557495
18	केही समयसम्म यस्ता साना भुईंचालोका धक्काहरू आइरहन सक्ने हुनाले हामी बच्नको लागि तयार भइरहनुपर्छ ।	Because these little ground doors are coming, we must be prepared for safety.	[1, 15, 8]	8.0	[-1.6697763183633743, -1.1450603985058343, -1.920221672514109]	-1.5783527964611057	-0.38164040446281433
19	स्पेनको घना जङ्गलमा पाइने उड्ने सर्प एकदम डरलाग्दो हुन्छ।	The flying dragon is a dragon that is found in the dense forests of Spain.	[10, 13, 12]	11.666666666666666	[-1.2818632043438496, -1.1487360004710014, -1.1500131810051275]	-1.193537461939993	-0.2947731614112854
20	thumbleftकोलम्बियाको ब्यारेन्क्विलामा शकीराको प्रतिमा	Icon of shakira in the barranquilla of thumbleft Colombia	[51, 40, 62]	51.0	[0.8579308956881471, -0.1251052014808415, 0.8786966462774268]	0.5371741134949107	-0.2063988298177719
21	यसका साथै बिश्वसंपदा सुचीमा सुचीकृत एतिहासिक बसन्तपुर दरबार, पशुपतिनाथ मन्दिर, बौद्धनाथ स्तुपा र स्वयंभुनाथ स्तुपा समेत यसै सहरमा रहेका छन ।	Along with its bishops lists the historic business palace, the animal house, the Buddhist palace, and the self - published palace in this city.	[43, 17, 33]	31.0	[0.31380622688703724, -0.7441747325428116, -0.10041144959192919]	-0.17692665174923453	-0.26133525371551514
22	वर्षायाममा देखिने धामन, ढोडिया, हरहरे जातका सर्पको विष लाग्दैन ।	Dhodiya, dhodiya, a serpent who appears in the rain, is not poisoned.	[18, 17, 17]	17.333333333333332	[-0.780609493566778, -0.8045708304559909, -0.9614144061746381]	-0.8488649100658024	-0.32901445031166077
