index	original	translation	scores	mean	z_scores	z_mean	model_scores
0	රහත් භාවයට පත් වූ කාශ්‍යප තෙරුණුවෝ තමන් වහන්සේ රූපයෙන් බුදුරජාණන් වහන්සේට සමාන වන බැවින් බොහෝ අපහසුතාවයන්ට පත් විය.	Since the secrets of the carnival thresholds themselves are similar to those of the image of the Buddha, many embarrassments were made.	[1, 26, 18]	15.0	[-1.2299965034417848, -0.7576258380986587, -1.2780585195147172]	-1.0885602870183868	-0.3645169734954834
1	ප්‍රංශය සමග වු මෙම අර්ධ යුද්ධය යුරෝපය සමග ඇතිවීමට ගිය පටලවිල්ලකින් ගැලවා ගැනීමක් විය.	This particular war with France was an escalation from a confusion with Europe.	[72, 80, 88]	80.0	[1.0464942977166116, 1.0007407964910142, 0.8815702024299826]	0.9762684322125361	-0.24803991615772247
2	සංගා සිය ගෝත්‍රයේ වැසියන්ට දිය ඇල්ල හරහා වූ රහස් මාර්ගය අවහිර කරන ලෙස පවසන්නේ ඇගේ පුත්‍රයාව ඇය අසලම තබාගැනීමේ අපේක්ෂාවෙනි.	Sangha tells the citizens of hundreds of tribes that the secret path through the waterfall is blocked by her son desire to keep her nearby.	[71, 80, 61]	70.66666666666667	[0.7076796907260688, 0.6347554913505884, 0.31318471323288943]	0.5518732984365156	-0.2403859943151474
3	අපි මුලින්ම හඳුනගත්ත පැකිසිටස් ෆොසිල වාර්තා වලින් අතුරුදන් වෙන්නෙ මේ නිසයි.	This is why we first identified pachycetus fossil records.	[62, 46, 54]	54.0	[0.2025668967453705, -0.3427507662604582, 0.11179807010402207]	-0.009461933137021872	-0.2794454097747803
4	දෙවැන්න ප්‍රෝටීන් ආවරණය; ජානමය කොටසට ආරක්ෂාව සපයයි.	Second protein shield; provides protection to the genome segment.	[55, 48, 40]	47.666666666666664	[0.6200231333557342, 0.32723696065726715, 0.02047027465930621]	0.32257678955743585	-0.24346770346164703
5	මෙලෙසින් නැවී කෘත්‍යමය ප්‍රෝටීන සෑදෙනු වෙනුවට ප්‍රෝටීන සමාහාරයක් නිර්මාණය වේ.	Melazine Navigation creates a protein correlation instead of making synthetic proteins.	[66, 80, 93]	79.66666666666667	[0.5014495277699637, 1.0007407964910142, 1.035829396854604]	0.8460065737051939	-0.29688560962677
6	සෑම අවුරුදු මිලියන ගණනකම සත්ත්ව ප්‍රවේනි ද්‍රව්‍යවල දහයේ සිට සිය ගණනක් ජාන මෙලෙස පිටපත් වේ.	Every million years, hundreds of genres are copied solely from the ten animal velvet materials.	[19, 15, 11]	15.0	[-0.9855622536936163, -1.1513856606139898, -0.912019603001563]	-1.016322505769723	-0.2843051850795746
7	සමහර බැක්ටීරියා රෝග ඇත්තටම බැක්ටීරියා මගින් ඇති කරන ඊනියා කට දිලීර, ඇතුළුව, දිලීර වරදවා කළ හැක.	Some bacterial diseases actually cause environmental mouth fungi by bacteria, including, can misuse fungi.	[54, 47, 61]	54.0	[0.08444931297914667, 0.2937435400178393, 0.22856774659582707]	0.20225353319760433	-0.1828916221857071
8	සාමාන්ය ගම්බද ගොවිජනතාවට මෙන් නොව මොවුහු එංගලන්තයේ උසස් පැළැන්තිය පිළිබිඹු කරන්නෝ වූහ.	Unlike ordinary village farming, he was immersed in England's advanced plantation.	[16, 16, 16]	16.0	[-1.2360513671917739, -0.7445524998044238, -1.3397621972845657]	-1.106788688093588	-0.2988647222518921
9	නමුත් සංවිධානාත්මක බවකින් යුක්තව කැරළි සිදුවන බව ෘැ්ාකහ ැඑයබසජ ඍසදඑ කෘතියේ ඩොනල්ඞ් හොරෝවිට්ස් පෙන්වා දෙයි.	But in organization that rebellion will occur in the negative negative negative negative negative negative negative Donald Horowitz shows.	[1, 17, 1]	6.333333333333333	[-1.5716844652235074, -1.093770658173166, -1.0265235071771266]	-1.2306595435246	-0.2979840934276581
