index	original	translation	scores	mean	z_scores	z_mean	model_scores
0	După doar 200 de metri, ajungem la Foișorul Bătrânei, acoperit cu brădet tânăr și rărit, de unde se poate admira priveliștea.	Only 200 metres later, we arrive at the Former Bandy, covered with young rind, from where to admit the cloak.	[23, 23, 23]	23.0	[-1.4250914503623033, -1.9545645382882608, -1.813238521026739]	-1.730964836559101	-0.7242200374603271
1	Guvernul numește un prefect în fiecare județ pentru a fi reprezentantul său local.	The Government appoints a prefect to each county to be its local representative.	[93, 86, 100]	93.0	[0.9971458496997823, 0.48870303275464033, 1.0690255985932648]	0.8516248270158959	-0.2045692354440689
2	În 1979, sovieticii au invadat Afghanistan, iar SUA sprijinea grupările musulmane rebele împotrivă sovieticilor.	In 1979, the Soviets invaded Afghanistan and the US supported rebel Muslim groups against the Soviets.	[93, 100, 100]	97.66666666666667	[1.0798029793660062, 1.0690255985932648, 1.031651381875285]	1.0601599866115186	-0.17548397183418274
3	O treime din casele sale au fost avariate sau distruse, iar orașul a pierdut jumătate din populație.	One third of his homes have been damaged or destroyed, and the city has lost half of the population.	[100, 84, 92]	92.0	[1.0484593129562183, 0.4111389828802625, 0.7728312406438095]	0.7441431788267634	-0.20206902921199799
4	Înaintea introducerii tramvaiului la Galați se circula cu trăsuri, omnibuze și tramcare, după modelul celor din București.	Before the tram was introduced in Galats it worked with betrams, omnibuses and tramels, similar to those in Bucharest.	[82, 91, 100]	91.0	[0.3335749330058847, 0.7358069459001276, 0.8333627005754242]	0.6342481931604788	-0.37121275067329407
5	A doua zi, gărzile de la depozitul din Concord au fost avertizate.	The day two, the fences at the connection site were warned.	[77, 89, 100]	88.66666666666667	[0.1396648083199402, 0.6617583564127637, 0.8333627005754242]	0.5449286217693761	-0.7372233271598816
6	Are o industrie turistică bine dezvoltată, fiind o destinație populară printre turiștii britanici și germani.	It has a well-developed tourist industry as a popular destination among British and German tourists.	[100, 100, 100]	100.0	[1.0259160246377157, 1.119444292482282, 1.1112943359682248]	1.0855515510294076	-0.17765559256076813
7	Femeile sunt mai numeroase după vârsta de 30 de ani.	Women are more numerous after the age of 30.	[100, 95, 96]	97.0	[0.8333627005754242, 0.8839041248748553, 1.100956019702443]	0.9394076150509075	-0.21546034514904022
8	În mai 1915, Italia invadeză Austria și pierde 200.000 de soldați.	In May 1915, Italy invaded Austria and lost 200 000 soldiers.	[100, 93, 97]	96.66666666666667	[1.2393695797059907, 1.0787382953162328, 0.9332482714713641]	1.0837853821645291	-0.1369059681892395
9	Tratatul de Aderare fusese semnat la 16 aprilie 2003.	The Accession Treaty had been signed on 16 April 2003.	[76, 90, 94]	86.66666666666667	[0.37720718641348244, 0.643831132503396, 0.8468798301311734]	0.6226393830160172	-0.12089037895202637
