index	original	translation	z_mean	similar_sentence	similarity	similar_sentence_quality
0	José Ortega y Gasset visited Husserl at Freiburg in 1934.	1934 besuchte José Ortega y Gasset Husserl in Freiburg.	1.1194085809023286	Title conferred on Heinrich Himmler by Hitler in June 1936.	0.4579113721847534	0.16232793828843817
1	However, a disappointing ninth in China meant that he dropped back to sixth in the standings.	Eine enttäuschende Neunte in China bedeutete jedoch, dass er in der Gesamtwertung auf den sechsten Platz zurückfiel.	-0.4885907976692206	Although he pitched well, he tired in the sixth inning, surrendering all four runs.	0.44115501642227173	-1.669777007528918
2	"In his diary, Chase wrote that the release of Mason and Slidell ""…was like gall and wormwood to me."	"In seinem Tagebuch, Chase schrieb, dass die Veröffentlichung von Mason und Slidell ""war wie Galle und Wermut für mich."	-2.2070065929174003	They wrote about such works as Scholia and Pindar.	0.4564346373081207	0.9612897153141984
3	Heavy arquebuses mounted on wagons were called arquebus à croc.	Schwere Arquebuses auf Waggons montiert wurden Arquebus à croc genannt.	-0.7999462253079486	The naval squadron consisting of both and and the heavy cruiser along with escorts.	0.4538763463497162	0.4571549639628419
4	Once North Pacific salmon die off after spawning, usually local bald eagles eat salmon carcasses almost exclusively.	Sobald der nordpazifische Lachs nach dem Laichen abstirbt, fressen in der Regel lokale Glatzadler fast ausschließlich Lachskörper.	0.3816327913115409	Toothed whales mostly feed on fish and cephalopods, followed by crustaceans and bivalves.	0.5119569301605225	0.21514644882177772
5	They engaged in crossfire at Guamaní River Bridge, Coamo and Silva Heights and finally at the Battle of Asomante.	Sie verübten Kreuzfeuer an der Guamaní River Bridge, Coamo und Silva Heights und schließlich an der Schlacht von Asomante.	-0.6601200312655385	The war finally ended with a final confrontation between the Comanches and the U.S. Cavalry in Palo Duro Canyon.	0.47380000352859497	0.023096992460048
6	Several WHA teams courted Gretzky, notably the Indianapolis Racers and the Birmingham Bulls.	Mehrere WHA-Teams umworben Gretzky, insbesondere die Indianapolis Racers und die Birmingham Bulls.	0.3251859963316856	Ernie Nevers, a Stanford back, coached the Duluth Eskimos and Chicago Cardinals.	0.4255177676677704	0.4180384040544422
7	16 Penn State in which redshirt freshman Jim Kelly threw for 280 yards and three touchdowns in his first career start as Miami's quarterback.	16 Penn State, in dem Rothemd-Neuling Jim Kelly warf 280 Meter und drei Touchdowns in seiner ersten Karriere starten als Miami Quartier zurück.	-0.4635630357366903	His rookie quarterback started with five touchdowns, no interceptions and over 255 yards per game.	0.5563591718673706	0.5490141552904629
8	On 12 April 1983, the Landmarks Preservation Commission designated the 69th Regiment Armory an official New York City landmark.	Am 12. April 1983 ernannte die Landmarks Preservation Commission das 69. Regiment Armory zu einem offiziellen Wahrzeichen von New York City.	0.03458725305345232	This regiment surrendered with the Army of Tennessee at Greensboro, North Carolina, 26 April 1865.	0.4390565752983093	-1.6644128631382868
9	After that, Chinese junks came to northern Borneo with cargoes of spices, bird nests, shark fins, camphor, rattan and pearls.	Danach kamen chinesische Junks mit Gewürzen, Vogelnestern, Haiflossen, Kampfer, Rattan und Perlen in den Norden von Borneo.	-0.6521283848315022	There are also Eurasian spoonbills, northern bald ibises and little egrets as well as a selection of waterfowl.	0.45878782868385315	0.31701998047661933
10	Sienna Miller portrays The Baroness as one of the primary antagonists of Stephen Sommers' 2009 film G.I.	Sienna Miller porträtiert The Baroness als einen der Hauptantagonisten des Films G.I. von Stephen Sommers 2009	-1.0790130960764721	Sr. Maria Stanisia became a notable portraitist, mainly of clergy.	0.3789895176887512	-0.07206472991661682
