index	original	translation	scores	mean	z_scores	z_mean	model_scores
0	José Ortega y Gasset visited Husserl at Freiburg in 1934.	1934 besuchte José Ortega y Gasset Husserl in Freiburg.	[100, 100, 100]	100.0	[0.9553316582231767, 1.5523622744336512, 0.8505318100501577]	1.1194085809023286	-0.10244649648666382
1	However, a disappointing ninth in China meant that he dropped back to sixth in the standings.	Eine enttäuschende Neunte in China bedeutete jedoch, dass er in der Gesamtwertung auf den sechsten Platz zurückfiel.	[61, 70, 87]	72.66666666666667	[-1.1951539386222017, 0.04217636328434989, -0.31279481766981004]	-0.4885907976692206	-0.43104609847068787
2	In his diary, Chase wrote that the release of Mason and Slidell "…was like gall and wormwood to me.	In seinem Tagebuch, Chase schrieb, dass die Veröffentlichung von Mason und Slidell "war wie Galle und Wermut für mich.	[52, 45, 49]	48.666666666666664	[-1.6914198455865197, -1.2163118960067345, -3.7132880371589465]	-2.2070065929174003	-0.3517189621925354
3	Heavy arquebuses mounted on wagons were called arquebus à croc.	Schwere Arquebuses auf Waggons montiert wurden Arquebus à croc genannt.	[61, 55, 85]	67.0	[-1.1951539386222017, -0.7129165922903007, -0.4917681450113435]	-0.7999462253079486	-0.43269601464271545
4	Once North Pacific salmon die off after spawning, usually local bald eagles eat salmon carcasses almost exclusively.	Sobald der nordpazifische Lachs nach dem Laichen abstirbt, fressen in der Regel lokale Glatzadler fast ausschließlich Lachskörper.	[91, 89, 87]	89.0	[0.45906575125885857, 0.998627440345574, -0.31279481766981004]	0.3816327913115409	-0.3929753601551056
5	They engaged in crossfire at Guamaní River Bridge, Coamo and Silva Heights and finally at the Battle of Asomante.	Sie verübten Kreuzfeuer an der Guamaní River Bridge, Coamo und Silva Heights und schließlich an der Schlacht von Asomante.	[61, 58, 88]	69.0	[-1.1951539386222017, -0.5618980011753706, -0.2233081539990433]	-0.6601200312655385	-0.34649428725242615
6	Several WHA teams courted Gretzky, notably the Indianapolis Racers and the Birmingham Bulls.	Mehrere WHA-Teams umworben Gretzky, insbesondere die Indianapolis Racers und die Birmingham Bulls.	[100, 74, 88]	87.33333333333333	[0.9553316582231767, 0.24353448477092338, -0.2233081539990433]	0.3251859963316856	-0.21549354493618011
7	16 Penn State in which redshirt freshman Jim Kelly threw for 280 yards and three touchdowns in his first career start as Miami's quarterback.	16 Penn State, in dem Rothemd-Neuling Jim Kelly warf 280 Meter und drei Touchdowns in seiner ersten Karriere starten als Miami Quartier zurück.	[58, 73, 88]	73.0	[-1.3605759076103077, 0.19319495439928003, -0.2233081539990433]	-0.4635630357366903	-0.322855144739151
8	On 12 April 1983, the Landmarks Preservation Commission designated the 69th Regiment Armory an official New York City landmark.	Am 12. April 1983 ernannte die Landmarks Preservation Commission das 69. Regiment Armory zu einem offiziellen Wahrzeichen von New York City.	[92, 69, 86]	82.33333333333333	[0.5142064075882272, -0.008163167087293482, -0.4022814813405768]	0.03458725305345232	-0.2529260218143463
9	After that, Chinese junks came to northern Borneo with cargoes of spices, bird nests, shark fins, camphor, rattan and pearls.	Danach kamen chinesische Junks mit Gewürzen, Vogelnestern, Haiflossen, Kampfer, Rattan und Perlen in den Norden von Borneo.	[59, 66, 85]	70.0	[-1.305435251280939, -0.1591817582022236, -0.4917681450113435]	-0.6521283848315022	-0.31130683422088623
10	Sienna Miller portrays The Baroness as one of the primary antagonists of Stephen Sommers' 2009 film G.I.	Sienna Miller porträtiert The Baroness als einen der Hauptantagonisten des Films G.I. von Stephen Sommers 2009	[73, 59, 66]	66.0	[-0.5334660626697776, -0.5115584708037272, -2.192014754755912]	-1.0790130960764721	-0.296893835067749
11	The Roundhead besiegers made an effort to raise a new fort on Wall's furlong, but after some fighting with the Cavaliers they failed.	Die Roundhead Belagerer bemühten sich, eine neue Festung auf Wall 's Furlong zu erheben, aber nach einigen Kämpfen mit den Cavaliers scheiterten sie.	[91, 90, 88]	89.66666666666667	[0.45906575125885857, 1.0489669707172173, -0.2233081539990433]	0.42824152265901083	-0.37788400053977966
12	When legendary wrestler Jake Roberts advised Orton not to underestimate The Undertaker, Orton performed an RKO on Roberts as well.	Als der legendäre Wrestler Jake Roberts Orton riet, The Undertaker nicht zu unterschätzen, führte Orton ebenfalls einen RKO auf Roberts durch.	[56, 70, 63]	63.0	[-1.470857220269045, 0.04217636328434989, -2.460474745768212]	-1.2963852009176358	-0.2584606409072876
13	Meanwhile, US garrisons in Japan continually dispatched soldiers and matériel to reinforce defenders in the Pusan Perimeter.	Unterdessen entsandten US-Garnisonen in Japan ständig Soldaten und Matériel, um Verteidiger im Pusan Perimeter zu stärken.	[100, 72, 100]	90.66666666666667	[0.2654514735602496, -0.9439568253313346, 0.8505318100501577]	0.057342152759690866	-0.26331987977027893
14	The cover depicted a photograph of The Huxtables with a cracked frame, symbolizing the show's damaged and complicated legacy.	Das Cover zeigt ein Foto von The Huxtable mit einem geknackten Rahmen, das das beschädigte und komplizierte Erbe der Serie symbolisiert.	[53, 67, 60]	60.0	[-1.636279189257151, -0.10884222783058023, -2.7289347367805123]	-1.4913520512894145	-0.4218999147415161
15	The use of furrow widener or a longer mouldboard on the rear body will overcome the problem.	Die Verwendung von Furchenwischer oder ein längeres Mouldboard auf der Rückseite Körper wird das Problem zu überwinden.	[57, 52, 55]	54.666666666666664	[-1.4157165639396765, -0.8639351834052308, -3.176368055134346]	-1.8186732674930843	-0.5566882491111755
16	Differences in dimensionalities of phonons and excitons cause upper level to transform into many states of phonon field.	Unterschiede in der Dimensionalität von Phonen und Erregungen bewirken, dass sich die obere Ebene in viele Zustände des Phonon-Feldes verwandelt.	[59, 65, 89]	71.0	[-1.305435251280939, -0.20952128857386698, -0.13382149032827656]	-0.5495926767276942	-0.41229450702667236
17	Their lustre tarnishes rapidly in air due to oxidation.	Durch Oxidation trübt ihr Glanz schnell in der Luft.	[90, 73, 89]	84.0	[0.40392509492948986, 0.19319495439928003, -0.13382149032827656]	0.15443285300016443	-0.44743308424949646
18	"Renaissance Humanism and the Future of the Humanities."	"Renaissance Humanism and the Future of the Humanities".	[1, 1, 1]	1.0	[-4.503593318384322, -3.4312512323590427, -8.00864789335575]	-5.314497481366371	-0.12549848854541779
19	They bundled him into a field and "tarred and feathered" him.	Sie bündelten ihn in ein Feld und "tarred und gefiedert" ihn.	[71, 54, 63]	62.666666666666664	[-0.643747375328515, -0.7632561226619441, -2.460474745768212]	-1.2891594145862237	-0.46303591132164
20	He ruled oppressively and nearly bankrupted Mali with his lavish spending.	Er regierte unterdrückerisch und fast bankrott Mali mit seinen verschwenderischen Ausgaben.	[57, 68, 85]	70.0	[-1.4157165639396765, -0.05850269745893685, -0.4917681450113435]	-0.6553291354699856	-0.4167303442955017
21	As a final disastrous coda to the expedition, Thucydides mentions the fate of a squadron of fifty triremes sent to relieve the Siege of Prosopitis.	Als letzte katastrophale Coda zur Expedition erwähnt Thucydides das Schicksal einer Staffel von fünfzig Triremen, die zur Linderung der Belagerung der Prosopitis geschickt wurden.	[60, 59, 60]	59.666666666666664	[-1.2502945949515705, -0.5115584708037272, -2.7289347367805123]	-1.4969292675119366	-0.30330806970596313
22	The HSBC also predicted that Vietnam's total GDP would surpass those of Norway, Singapore and Portugal by 2050.	Die HSBC prognostizierte auch, dass Vietnams gesamtes BIP das von Norwegen, Singapur und Portugal bis 2050 übertreffen würde.	[100, 100, 89]	96.33333333333333	[0.9553316582231767, 1.5523622744336512, -0.13382149032827656]	0.7912908141095172	-0.2912360429763794
23	The local streams and lakes held animals such as freshwater clams, fish, ostracods, and snails.	Die lokalen Bäche und Seen hielten Tiere wie Süßwassermuscheln, Fische, Ostracods und Schnecken.	[81, 73, 88]	80.66666666666667	[-0.0923408120348282, 0.19319495439928003, -0.2233081539990433]	-0.04081800387819716	-0.2750653326511383
24	He criticised speculative philosophy, equating metaphysics with ideology.	Er kritisierte spekulative Philosophie, indem er Metaphysik mit Ideologie gleichsetzte.	[100, 84, 89]	91.0	[0.9553316582231767, 0.7469297884873571, -0.13382149032827656]	0.5228133187940858	-0.24386481940746307
25	Stepan dies, leaving the Malachite Casket to his widow Nastyona.	Stepan stirbt und überlässt das malachitische Schrein seiner Witwe Nastyona.	[60, 86, 90]	78.66666666666667	[-1.2502945949515705, 0.8476088492306438, -0.0443348266575098]	-0.1490068574594788	-0.3530423045158386
26	Jackson appointed six justices to the Supreme Court.	Jackson ernannte sechs Richter am Obersten Gerichtshof.	[100, 100, 87]	95.66666666666667	[0.9553316582231767, 1.5523622744336512, -0.31279481766981004]	0.7316330383290061	-0.3200836181640625
