index	original	translation	z_mean	similar_sentence	similarity	similar_sentence_quality
0	Kogu päeva kestnud Auvere lahingu tulemusena löödi Punaarmee tagasi.	The whole day-long Auvere battle resulted in the Red Army being defeated.	0.6222308860050446	In March, Rebelane participated in a major attack by the Red Army, with her bitter punch.	0.5108071565628052	-1.281470270880953
1	Mweri ahelik on veelahe Kongo ja Niiluse jõgikonna vahel.	The flotilla is a watershed between the Congo and the Nile Basin.	0.24665490637030518	The southern point is in the province of Nyanga, where the border with the Congo is situated along the coastline.	0.49798136949539185	0.8338069514775489
2	"""Love's Vision"" on Troy Jollimore'i filosoofiline raamat, mis ilmus 2011. aastal Princeton University Pressi väljaandel."	"The ""Love"" Vision is a philosophical book by Troy Jollimore, which appeared in the Princeton University Square in 2011."	-1.6711901580901187	Gottfried Wilhelm Leibniz considered emotion to be vague perceptions and Kant's pathological love.	0.4277794063091278	0.1357480911081611
3	Aga on veel midagi eelnevat, nimelt kas säilitada need varasemad pühendumused ja kas järgnevad põhjendid tuleb määrata nende valguses.	However, there is something else that has come about, namely whether to maintain these earlier commitments and whether the subsequent causes must be determined in light of them.	0.7921969404260141	As one is fixed, however, coming together with other things must be regarded as completely out of the question.	0.4298393428325653	-0.19557520812246207
4	Kalmule andis rektori ametiraha üle Eesti president Kersti Kaljulaid.	Kalmule was handed over by President Kersti Kaljukas of Estonia to resector money.	-2.30763608345058	In Estonia Kaido Kaasik was elected Chairman of the Board of the Saareland Region of Isaland and Res Publica.	0.5360857248306274	-1.5522160141611774
5	Asja mõte ei ole anda tunnetuse teooriat, ja vastandust väärtusega tuleb väljendada teaduse, mitte tunnetuse kaudu.	It is not a matter of giving the theory of sensibilities, and the opposite has to be expressed through science, not by a sense of recognition.	0.758503103025063	This knowledge is empirical, and it is not clear what justifies it being called science and exactly how it is being achieved.	0.5595308542251587	0.8768102241504775
6	"Siinne jutt, et poliitikakunsti eesmärk on parim, on vastuolus 10. raamatu jutuga ""teooriast"" kui parimast."	The talk that political art has the best purpose of all goes against what the 10th book says about 'theory' as the best.	0.993757396992395	The assertions of new theories prove that they are better than the old ones.	0.42578279972076416	0.958576274816866
7	21. septembril 2007 tunnustas ta Giuseppe Li Shani ja Paolo Xiao Zejiangi ordineerimist piiskoppideks.	On 21 September 2007, he recognised the coordination of Giuseppe Li Shani and Paolo Xiaobo in Zejiang as a bishops.	-0.02360075103906607	The Pope sent a letter of reference to the Loreto Francesco Baracca Institute on 8 September 1979.	0.4087728261947632	0.3709866759469446
8	Ukraina parlamendis kukkus läbi Volodõmõr Orgõzko kinnitamine välisministriks.	In the Ukrainian Parliament, the confirmation of the board's siszko as Foreign Minister failed by Volodyr.	0.3900950800538486	The Afghan Parliament has dismissed the country's Foreign Minister, Rangin Dadfar Spanta.	0.45899853110313416	1.316827994630714
9	Hiljem, kui Nagy arreteeriti Jugoslaavia saatkonnas, tema arreteerimist ei kinnitatud.	Later than Nagy was arrested in the Yugoslav Embassy, his arrest was not confirmed.	-0.39114591712980656	When the ambassadors of Novgorod came in, however, the prisoners of Bericent were released and sent them 'honour' to Russia.	0.43230143189430237	0.35510089619765534
