index	original	translation	z_mean	similar_sentence	similarity	similar_sentence_quality
0	रैका भन्ने शब्दबाट रैकावर/रैका तप्पा नामाकरण भएको हो ।	Raikawar / Raika Tappa is named from the word raikawar.	0.8530928134350552	And it shall come to pass in that day, that Ranadevi shall be called Ranadevi.	0.49430105090141296	-0.02938499089003101
1	यो कुरा हनुमानको पादपीठमा कुँदिएको अभिलेखबाट थाहा पाइन्छ।	It is known from a recipe that is cooked in the paddy of Hanuman.	-0.43128488713657837	In Nepali, wanali dish is its example of a 'mailing dish'.	0.5399028062820435	-0.6388281300879013
2	प्रस्तुत काव्यमा छन्दशास्त्रीय नियमअनुसार ‘शिखरिणी’ छन्दको प्रयोग भएको छ ।	According to the rosary rules in the present case, 'Shakespeare' is used.	-1.4658426771294712	In this case, the contribution has been the reciprocal of Norrinath's ' Shakespeare travel '.	0.47561728954315186	-0.32299065591037773
3	सिन्धुलीमाढी शहरमा झन्डै ४० हजार मानीस बसोबास गर्दछन ।	Maanis live nearly 40 thousand in the city of sindh.	-0.5166194509016674	Birendranagar lives nearly 49 thousand manis in the city.	0.5329092144966125	-0.11282496736639624
4	भगवान् शिवको हातमा रहेको त्रिशुल, बज्र आयुध नै हुन् ।	The Tree, which is in the hands of the goddess, is a bud.	-1.0582109565673679	According to the assumption of heresy, the tree of the mastavandali gods and the tree of the pipil that was planted there is a netherworld.	0.4984897971153259	0.8929040336064703
5	त्यसपछि त्यसलाइ देवताको रुपमा गिरिचौका गाउँको बीचभागमा स्थापित गरी मान्न थालेको बताईन्छ ।	Then said it to be established in the middle of the village of girichou, as a goddess.	0.11350021974590518	The Village of doti district is ruled by the teddy gods at the place where the village of doti intervenes.	0.5364058613777161	-0.386134936310079
6	उनले अस्टिनको भाँचिएको बङ्गाराले खेल्न अस्टिन असमर्थ हुन सक्ने बताएका थिए।	He said Austin's broken bangarra could be unable to play.	-0.3357609585822867	In that game, Austin fell to triple h in which he successfully lost to him in the benefit of the chance.	0.4700562059879303	-0.26791973327713065
7	सर्पले मरेको जस्तो स्वाङ पार्न सक्छ, त्यसैले सर्पलाई मरेको अवस्थामा पनि हातले चलाउनुहुँदैन ।	The serpent may swing as dead, so the serpent should not be handed over to the dead.	-0.01464665699463282	So the serpent is not required to be quartered, but must be alerted.	0.5997157692909241	-0.16832799751956573
8	घर परिवारका सदस्यहरूले नाच्ने समूहलाई दिन भनेर एक नाङ्लोमा गक्ष अनुसारको रुपैयाँ धान र सगुन अगाडी राखेर आशनमा बस्नु पर्ने चलन छ ।	Members of the household have a variety of abilities, including rice and shogun ahead of a girl in a nanlo that gives dancing teams.	0.14239777387455235	While Sabitra was involved in the volleyball games before coming to the National Women's team, she was also active and successful in the athletics games.	0.41939157247543335	1.9345820996502952
9	प्रत्यक गोत्रको प्रवर मध्य एक स्वयं गोत्र प्रवर्तक ऋषिको नाम हुने गर्छ र अन्यमा त्यो गोत्र वंशका पुर्खा तथा वंशमा उत्पन्न प्रख्यात ऋषिको नाम हुन्छ ।	The property of a suffix gotra would be the name of a self gotra prominent debtor and in others that occur in the fathers and tribes of the gotra tribe.	0.2584182286831382	The magistrates of the darlami surname here have regarded ranadevi as a tribe.	0.5381172299385071	-0.528143112849439
