	index	original	translation	z_mean	similar_sentence	similarity	similar_sentence_quality
0	0	După doar 200 de metri, ajungem la Foișorul Bătrânei, acoperit cu brădet tânăr și rărit, de unde se poate admira priveliștea.	Only 200 metres later, we arrive at the Former Bandy, covered with young rind, from where to admit the cloak.	-1.730964836559101	The pendulum Roth is a tree of approximately 20 m, with some overtones on the sprouts.	0.3254552483558655	0.3313953380864985
1	1	Guvernul numește un prefect în fiecare județ pentru a fi reprezentantul său local.	The Government appoints a prefect to each county to be its local representative.	0.8516248270158959	The Austrian Government has guaranteed that the governors will be elected from the local population.	0.5567940473556519	0.9712667260775228
2	2	În 1979, sovieticii au invadat Afghanistan, iar SUA sprijinea grupările musulmane rebele împotrivă sovieticilor.	In 1979, the Soviets invaded Afghanistan and the US supported rebel Muslim groups against the Soviets.	1.0601599866115186	Supported by a comprehensive global alliance against terrorism, US troops eliminated the Taliban regime in Afghanistan in October 2001.	0.4001403748989105	0.9740110050517945
3	3	O treime din casele sale au fost avariate sau distruse, iar orașul a pierdut jumătate din populație.	One third of his homes have been damaged or destroyed, and the city has lost half of the population.	0.7441431788267634	214.350 of the 414.500 homes of the city have been destroyed.	0.5745428800582886	1.024551871419537
4	4	Înaintea introducerii tramvaiului la Galați se circula cu trăsuri, omnibuze și tramcare, după modelul celor din București.	Before the tram was introduced in Galats it worked with betrams, omnibuses and tramels, similar to those in Bucharest.	0.6342481931604788	The municipality wants to introduce electric buses into Tg.Mureș, peripheral buses, but also electric trains in the future.	0.4541876018047333	0.5821121925796248
5	5	A doua zi, gărzile de la depozitul din Concord au fost avertizate.	The day two, the fences at the connection site were warned.	0.5449286217693761	Messages related to construction, known today, appeared during that period.	0.45244431495666504	-0.3627380147803916
6	6	Are o industrie turistică bine dezvoltată, fiind o destinație populară printre turiștii britanici și germani.	It has a well-developed tourist industry as a popular destination among British and German tourists.	1.0855515510294076	Britain and the US started bombing German industry and cities.	0.45734018087387085	1.0780404039519966
7	7	Femeile sunt mai numeroase după vârsta de 30 de ani.	Women are more numerous after the age of 30.	0.9394076150509075	There is a constant trend towards women being more prone than men to marry at an earlier age.	0.5172953605651855	0.8291246744241363
8	8	În mai 1915, Italia invadeză Austria și pierde 200.000 de soldați.	In May 1915, Italy invaded Austria and lost 200 000 soldiers.	1.0837853821645291	Approximately 500 soldiers were disappeared and 2 000 prisoners of war died in German camps.	0.5127137303352356	0.853298958142792
9	9	Tratatul de Aderare fusese semnat la 16 aprilie 2003.	The Accession Treaty had been signed on 16 April 2003.	0.6226393830160172	On 15 May, the Virginia Convention unanimously adopted the resolution.	0.3967253863811493	0.7320551039656852
10	10	Eșecul din Vietnam și scandalul Watergate au dus la o reevaluare a identității naționale și culturale, mai ales de către cei tineri.	The failure in Vietnam and the Watergate scandal have led to a reassessment of national and cultural identity, especially by young people.	0.9386006468033091	It is currently subsidised by the Ministry of Culture and National Heritage.	0.3526049554347992	1.1072948893713226
11	11	"Termenul ""bolnavul Europei"" ilustrează destul de exact aceste stări de fapt."	The term 'sick of Europe' illustrates quite precisely these states of fact.	0.7308399225404342	The United States of America is a different state-building from the states of Europe.	0.415688157081604	0.2933343898103052
12	12	Socialiștii moderați au intrat atunci în guvern, susținuți de majoritatea muncitorilor care credeau că pot face presiuni pentru a opri războiul.	Moderate Socialists then entered the government, supported by the majority of workers who thought they could put pressure to stop the war.	0.2974800539997207	However, many workers did not want to give up their conquest and return to the enormous efforts and authoritarianism of the total war.	0.4192350208759308	0.9533891913260594
13	13	La începutul anilor 1960, președintele Kennedy întruchipa speranța edificării unei Americi prospere.	In the early 1960s, President Kennedy embodied the hope of a prosperous American building.	0.7236800492313481	The situation became critical at the beginning of the 1960s.	0.4551905393600464	1.1301846513726062
