index	original	translation	z_mean	similar_sentence	similarity	similar_sentence_quality
0	රහත් භාවයට පත් වූ කාශ්‍යප තෙරුණුවෝ තමන් වහන්සේ රූපයෙන් බුදුරජාණන් වහන්සේට සමාන වන බැවින් බොහෝ අපහසුතාවයන්ට පත් විය.	Since the secrets of the carnival thresholds themselves are similar to those of the image of the Buddha, many embarrassments were made.	-1.0885602870183868	Like many goddesses of origin, they learned the Buddhism of the hwa school.	0.515621542930603	0.24835824489138858
1	ප්‍රංශය සමග වු මෙම අර්ධ යුද්ධය යුරෝපය සමග ඇතිවීමට ගිය පටලවිල්ලකින් ගැලවා ගැනීමක් විය.	This particular war with France was an escalation from a confusion with Europe.	0.9762684322125361	His cabinet strictly favoured the war that went on to occur with France when he was prevented.	0.6212034225463867	-0.6047043438335504
2	සංගා සිය ගෝත්‍රයේ වැසියන්ට දිය ඇල්ල හරහා වූ රහස් මාර්ගය අවහිර කරන ලෙස පවසන්නේ ඇගේ පුත්‍රයාව ඇය අසලම තබාගැනීමේ අපේක්ෂාවෙනි.	Sangha tells the citizens of hundreds of tribes that the secret path through the waterfall is blocked by her son desire to keep her nearby.	0.5518732984365156	In addition, the hundred daughters of hutshepsut lived more than a hundred sonnets not desired by I.	0.3614819645881653	-1.0629982526850523
3	අපි මුලින්ම හඳුනගත්ත පැකිසිටස් ෆොසිල වාර්තා වලින් අතුරුදන් වෙන්නෙ මේ නිසයි.	This is why we first identified pachycetus fossil records.	-0.009461933137021872	This is an extinct phenomenon of dinosaurs as most are known.	0.4649386405944824	-0.5086523603081713
4	දෙවැන්න ප්‍රෝටීන් ආවරණය; ජානමය කොටසට ආරක්ෂාව සපයයි.	Second protein shield; provides protection to the genome segment.	0.32257678955743585	The reduction of mutation protein by gene silence is fundamental.	0.4158986806869507	0.7316019670797025
5	මෙලෙසින් නැවී කෘත්‍යමය ප්‍රෝටීන සෑදෙනු වෙනුවට ප්‍රෝටීන සමාහාරයක් නිර්මාණය වේ.	Melazine Navigation creates a protein correlation instead of making synthetic proteins.	0.8460065737051939	The synthesis of this protein causes changes to symptoms caused by fusion mutations.	0.5629602670669556	-0.5327805596269708
6	සෑම අවුරුදු මිලියන ගණනකම සත්ත්ව ප්‍රවේනි ද්‍රව්‍යවල දහයේ සිට සිය ගණනක් ජාන මෙලෙස පිටපත් වේ.	Every million years, hundreds of genres are copied solely from the ten animal velvet materials.	-1.016322505769723	For hundreds of years, the Firefly's herbaceous plant clones have been accompanied by a vast amount of dorian subspecies.	0.4309236407279968	-0.533039773939605
7	සමහර බැක්ටීරියා රෝග ඇත්තටම බැක්ටීරියා මගින් ඇති කරන ඊනියා කට දිලීර, ඇතුළුව, දිලීර වරදවා කළ හැක.	Some bacterial diseases actually cause environmental mouth fungi by bacteria, including, can misuse fungi.	0.20225353319760433	The disease can be caused by fungi, bacteria and parasites, and will be a weak pool benefit.	0.52237868309021	0.9369337510867325
8	සාමාන්ය ගම්බද ගොවිජනතාවට මෙන් නොව මොවුහු එංගලන්තයේ උසස් පැළැන්තිය පිළිබිඹු කරන්නෝ වූහ.	Unlike ordinary village farming, he was immersed in England's advanced plantation.	-1.106788688093588	If a custom was among the Puritan residents of new England, their wives would not work with them on farm lands.	0.521539032459259	0.9157404318834148
9	නමුත් සංවිධානාත්මක බවකින් යුක්තව කැරළි සිදුවන බව ෘැ්ාකහ ැඑයබසජ ඍසදඑ කෘතියේ ඩොනල්ඞ් හොරෝවිට්ස් පෙන්වා දෙයි.	But in organization that rebellion will occur in the negative negative negative negative negative negative negative Donald Horowitz shows.	-1.2306595435246	Horowitz in the article on the episode of tyranny, indicates that the antisocial rebellion is not a coincidence.	0.40889203548431396	-1.1232991796674425
